0,0,0,-,-,-,-
1,4506,4741,Jordon,Sherrie,20/6/1809,Surrey
2,0,0,Ebbs,Whitney,12/7/1792,Herefordshire
3,0,4962,Rycroft,Jeremy,11/6/1756,Clwyd
4,0,2126,Yeadon,Monotera,23/10/1682,East Riding of Yorkshire
5,3413,0,Riseborough,Elijah,25/11/1697,Angus
6,0,2553,Halford,Santo,7/4/1775,Dumfries
7,0,0,Kibblewhite,Nidia,12/7/1789,Cornwall
8,3061,0,Devon,Filomena,27/4/1682,Clackmannan
9,3982,3278,Lendon,Tera,14/10/1672,Renfrewshire
10,2630,0,Mccullough,Collette,30/10/1637,Greater Manchester
11,0,0,Adanet,Yasmine,13/2/1605,Kent
12,2873,2748,Forman,Clifton,11/9/1640,City of Dundee
13,0,2777,Gould,Tamela,17/6/1747,Greater London
14,3808,0,Bevan,Rozanne,18/4/1813,Dyfed
15,840,1749,Elcock,Alonzo,17/10/1929,Greater London
16,4711,0,Hand,Marlo,10/1/1742,County Tyrone
17,3674,0,Jardine,Jamar,15/11/1781,Western Isles
18,3225,0,Mcshane,Tiffanie,22/12/1692,Dorset
19,943,1670,Jefferson,Elenora,24/4/1838,Cumbria
20,0,4168,Nanson,Raul,12/4/1748,West Glamorgan
21,0,0,Hendry,Claud,8/2/1778,Tyne and Wear
22,3725,0,Woodley,Anika,31/5/1723,Lancashire
23,0,4688,Pugh,Hermelinda,9/7/1769,Greater Manchester
24,3499,0,Stacey,Sheryll,4/10/1713,Cambridgeshire
25,0,0,Jackman,Claud,3/6/1717,South Yorkshire
26,4801,0,Howarth,Margrett,13/6/1604,Shropshire
27,0,0,Mcgrory,Rosalind,26/6/1705,County Antrim
28,2001,3989,Easton,Delmer,3/11/1754,Gwent
29,0,0,Rycroft,Erasmo,19/10/1823,Berkshire
30,4028,61,Elliott,Dionne,1/11/1782,Western Isles
31,3160,0,Steere,Zack,8/2/1702,Leicestershire
32,0,2181,Upton,Peter,15/1/1745,Caithness
33,0,2903,Fearns,Monty,19/10/1772,Dorset
34,0,170,Rutherford,Magan,1/6/1705,Isle of Wight
35,2732,3282,Ingram,Joaquin,25/3/1951,Lanarkshire
36,0,0,Raymond,Chet,6/11/1736,Leicestershire
37,2583,0,Sanderson,Shelton,12/9/1831,Warwickshire
38,0,320,Pole,Donnell,17/12/1696,South Glamorgan
39,0,3185,Malley,Tiffanie,24/10/1960,City of Glasgow
40,0,376,Kemp,Marquetta,18/2/1950,Ayrshire and Arran
41,0,0,Dalby,Emery,7/7/1809,County Down
42,1755,0,Jefferson,Mira,16/7/1835,Cambridgeshire
43,2107,3206,Close,Burt,26/7/1552,Somerset
44,2257,0,Sherriff,Hyman,10/5/1767,Roxburgh Ettrick and Lauderdale
45,0,0,Freeman,Rosia,28/3/1753,Lancashire
46,0,1855,Sweeting,Rolando,29/4/1561,Essex
47,0,0,Deighton,Anisha,29/5/1905,Angus
48,0,0,Halliwell,Halina,15/8/1599,Dyfed
49,0,2843,Mcfadden,Tory,5/4/1740,County Armagh
50,0,4040,Ryans,Gertrud,7/1/1771,Clwyd
51,0,0,Rudd,Starla,24/9/1454,East Lothian
52,0,0,Karne,Martin,5/3/1793,Herefordshire
53,0,0,Cracknell,Zola,1/2/1615,South Glamorgan
54,243,0,Bush,Zola,1/3/1866,Clwyd
55,1587,3511,Goldman,Jim,8/7/1634,Bristol
56,0,0,Wild,Erasmo,17/3/1588,Powys
57,0,1427,Pinsmail,Erasmo,29/7/1861,Somerset
58,0,0,Moss,Rosamond,3/8/1710,North Yorkshire
59,1080,2803,Lewis,Jonas,10/5/1792,Argyll and Bute
60,0,0,Laverick,Kerri,4/7/1731,South Glamorgan
61,0,3179,Raine,Shayna,10/9/1746,Kincardineshire
62,0,4314,Yard,Emmett,22/11/1717,West Glamorgan
63,0,510,Peel,David,2/12/1814,Banffshire
64,859,0,Kibblewhite,Anika,12/5/1735,Oxfordshire
65,0,0,Perrins,Stacee,17/1/1708,Bedfordshire
66,0,3105,Elliott,Daria,20/12/1880,Orkney
67,3201,4515,Stocker,Maritza,19/2/1853,Midlothian
68,842,0,Driver,Dionne,22/3/1763,County Fermanagh
69,0,1747,Ridgwell,Ileen,4/1/1731,Berkshire
70,0,0,Prendergast,Salvatore,2/5/1830,County Antrim
71,1511,2497,Hough,Lucien,28/3/1523,East Lothian
72,4509,2405,Noyes,Faye,16/4/1723,Gwynedd
73,0,4001,Rowlinson,Shelby,3/9/1767,South Glamorgan
74,0,1903,Rootham,Joaquin,27/6/1689,Gwynedd
75,4876,648,Johanson,Marcelle,20/1/1739,Western Isles
76,477,2344,Southgate,Luana,28/6/1673,Ross and Cromarty
77,4784,0,Dempsey,Essie,21/5/1768,Tyne and Wear
78,1156,823,Snell,Carin,1/10/1679,Warwickshire
79,408,3862,Dudley,Cinda,17/11/1741,County Fermanagh
80,0,4298,Algar,Titus,23/1/1821,Argyll and Bute
81,818,2173,Main,Robin,5/12/1698,Perth and Kinross
82,0,4022,Malley,Lekisha,24/12/1954,Perth and Kinross
83,0,1370,Altham,Kathryn,24/2/1659,Warwickshire
84,0,0,Ashworth,Dolores,28/3/2005,Clackmannan
85,0,0,Bevan,Rosario,26/3/1751,Midlothian
86,0,4377,Montgomery,Priscilla,22/1/1851,Mid Glamorgan
87,0,1314,Tombs,Yang,2/11/1975,Perth and Kinross
88,0,0,Yeatman,Claire,17/6/1876,Sutherland
89,0,0,Gonzalez,Lonny,26/9/1695,City of Dundee
90,3148,1729,Kinsella,Tiffany,14/1/1728,Shetland
91,0,0,Nelms,Rosa,27/5/1660,East Riding of Yorkshire
92,3917,0,Kemp,Rosalind,15/5/1725,Nottinghamshire
93,0,2078,Tempest,Charlie,23/11/1621,Angus
94,0,2593,Lee,Louie,4/1/1610,Devon
95,0,2846,Marsden,Yasmine,24/9/1890,City of Dundee
96,3023,3856,Elliott,Starla,27/9/1844,Devon
97,3297,3298,Nichols,Coralee,30/8/1659,Ayrshire and Arran
98,2018,2453,Farnum,Jamar,15/2/1477,Moray
99,0,4669,Dubois,Tanner,27/4/1818,Cornwall
100,2879,4005,Rosser,Luis,19/11/2061,County Derry
101,0,0,Peigne,Tracy,26/4/1936,City of Glasgow
102,0,4363,Routledge,Jospeh,27/3/1805,Cumbria
103,2156,760,Painter,Maisie,3/3/1806,Dorset
104,0,3557,Bevan,Fausto,1/4/1749,Inverness
105,0,3179,Raine,Jacelyn,8/3/1755,Ross and Cromarty
106,0,0,Eglan,Elijah,3/9/1857,Aberdeenshire
107,4614,2891,Adey,Luana,17/12/1748,Leicestershire
108,1628,0,Cracknell,Wilburn,7/6/1577,South Glamorgan
109,4262,1632,Eglin,Arden,27/9/1987,Moray
110,4046,0,Williamson,Ezra,19/7/1685,City of Aberdeen
111,2756,0,Jakeman,Milly,15/2/1592,Lanarkshire
112,153,0,Nightingale,Marisha,7/9/1893,Western Isles
113,0,2639,Reid,Elvis,15/3/1610,Dyfed
114,0,4659,Jenkin,Soledad,7/2/1751,City of Dundee
115,2659,0,Pallett,Lakisha,31/3/1704,Greater Manchester
116,0,4193,Virgo,Loris,4/8/1822,Lincolnshire
117,3270,3262,Templeton,Destiny,4/3/1774,Lancashire
118,4784,0,Dempsey,Abdul,12/11/1767,Dunbartonshire
119,0,2867,Kiely,Cesar,21/2/1678,West Lothian
120,572,4120,Gunby,Florencia,19/9/1758,East Riding of Yorkshire
121,283,2992,Rycroft,Louie,28/8/1799,Berkshire
122,4175,957,Wakeham,Peggy,19/9/1838,Suffolk
123,0,0,Nanson,Domenic,2/8/1722,West Glamorgan
124,1101,3906,Torrance,Sixta,30/12/1741,Lincolnshire
125,3067,0,Jems,Jerrell,13/9/1660,The Stewartry of Kirkcudbright
126,4711,0,Hand,Margrett,25/4/1740,Mid Glamorgan
127,0,0,Kirkman,Merlin,8/9/1817,Clwyd
